longitude_e4,latitude_e4,start_time,platform_id,resolution_id,band_id,si_value,radiance,reflectance,uncertainty_index,uncertainty_pct
-1011858,271083,201204010545,1,2,21,8701,0.37389126,0.0,0,0.563
-1012343,271056,201204010545,1,2,21,8637,0.36988333,0.0,0,0.563
-1012826,271029,201204010545,1,2,21,8390,0.3544152,0.0,0,0.563
-1013307,271002,201204010545,1,2,21,8286,0.34790233,0.0,0,0.563
-1013781,270975,201204010545,1,2,21,7759,0.31489947,0.0,0,0.563
-1014254,270948,201204010545,1,2,21,7487,0.29786575,0.0,0,0.563
-1014724,270921,201204010545,1,2,21,7735,0.3133965,0.0,0,0.563
-1015188,270895,201204010545,1,2,21,7287,0.28534096,0.0,0,0.563
-1015646,270868,201204010545,1,2,21,7095,0.27331716,0.0,0,0.563
-1016106,270841,201204010545,1,2,21,7607,0.30538064,0.0,0,0.563
-1016562,270814,201204010545,1,2,21,7431,0.29435882,0.0,0,0.563
-1017015,270788,201204010545,1,2,21,7631,0.3068836,0.0,0,0.563
-1017553,270756,201204010545,1,2,21,8398,0.35491621,0.0,0,0.563
-1017935,270733,201204010545,1,2,21,7967,0.32792526,0.0,0,0.563
-1018376,270707,201204010545,1,2,21,7815,0.31840643,0.0,0,0.563
-1018882,270676,201204010545,1,2,21,7927,0.32542032,0.0,0,0.563
-1019349,270648,201204010545,1,2,21,7799,0.31740445,0.0,0,0.563
-1019881,270615,201204010545,1,2,21,7543,0.3013727,0.0,0,0.563
-1020249,270593,201204010545,1,2,21,7703,0.31139255,0.0,0,0.563
-1020614,270570,201204010545,1,2,21,8079,0.33493915,0.0,0,0.563
-1020986,270547,201204010545,1,2,21,7719,0.31239453,0.0,0,0.563
-1021389,270522,201204010545,1,2,21,6839,0.25728542,0.0,0,0.563
-1021822,270495,201204010545,1,2,21,7695,0.31089154,0.0,0,0.563
-1022299,270465,201204010545,1,2,21,8118,0.33738148,0.0,0,0.563
-1022768,270436,201204010545,1,2,21,7695,0.31089154,0.0,0,0.563
-1023295,270402,201204010545,1,2,21,6798,0.25471783,0.0,0,0.563
-1023745,270374,201204010545,1,2,21,6325,0.22509669,0.0,0,0.563
-1024182,270346,201204010545,1,2,21,6229,0.21908478,0.0,0,0.563
-1024543,270323,201204010545,1,2,21,6590,0.24169204,0.0,0,0.563
-1024802,270306,201204010545,1,2,21,7047,0.2703112,0.0,0,0.563
-1025145,270283,201204010545,1,2,21,6815,0.25578243,0.0,0,0.563
-1025515,270259,201204010545,1,2,21,6590,0.24169204,0.0,0,0.563
-1025890,270235,201204010545,1,2,21,6438,0.23217319,0.0,0,0.563
-1026268,270210,201204010545,1,2,21,6430,0.2316722,0.0,0,0.563
-1026644,270185,201204010545,1,2,21,6510,0.23668212,0.0,0,0.563
-1027020,270160,201204010545,1,2,21,6470,0.23417716,0.0,0,0.563
-1027421,270134,201204010545,1,2,21,7191,0.27932906,0.0,0,0.563
-1027786,270109,201204010545,1,2,21,7127,0.27532113,0.0,0,0.563
-1028164,270084,201204010545,1,2,21,7423,0.2938578,0.0,0,0.563
-1028519,270060,201204010545,1,2,21,7239,0.282335,0.0,0,0.563
-1028887,270035,201204010545,1,2,21,7079,0.27231517,0.0,0,0.563
-1029258,270010,201204010545,1,2,21,6814,0.2557198,0.0,0,0.563
-1029633,269984,201204010545,1,2,21,6726,0.2502089,0.0,0,0.563
-1029989,269960,201204010545,1,2,21,7391,0.29185385,0.0,0,0.563
-1030324,269937,201204010545,1,2,21,6670,0.24670196,0.0,0,0.563
-1030680,269913,201204010545,1,2,21,6454,0.23317517,0.0,0,0.563
-1031034,269888,201204010545,1,2,21,6638,0.24469799,0.0,0,0.563
-1031390,269863,201204010545,1,2,21,6662,0.24620096,0.0,0,0.563
-1031794,269835,201204010545,1,2,21,7471,0.29686376,0.0,0,0.563
-1032152,269810,201204010545,1,2,21,7015,0.26830724,0.0,0,0.563
-1032503,269786,201204010545,1,2,21,7119,0.27482012,0.0,0,0.563
-1032873,269760,201204010545,1,2,21,7727,0.3128955,0.0,0,0.563
-1033154,269740,201204010545,1,2,21,7927,0.32542032,0.0,0,0.563
-1033476,269717,201204010545,1,2,21,7655,0.3083866,0.0,0,0.563
-1033808,269693,201204010545,1,2,21,7031,0.26930922,0.0,0,0.563
-1034145,269669,201204010545,1,2,21,6863,0.25878838,0.0,0,0.563
-1034482,269645,201204010545,1,2,21,6662,0.24620096,0.0,0,0.563
-1034816,269621,201204010545,1,2,21,6718,0.2497079,0.0,0,0.563
-1035150,269597,201204010545,1,2,21,6702,0.24870592,0.0,0,0.563
-1035483,269573,201204010545,1,2,21,6710,0.24920692,0.0,0,0.563
-1035815,269549,201204010545,1,2,21,6694,0.24820493,0.0,0,0.563
